Fp1 Fp2 F3 F4 C3 C4 P3 P4 O1 O2 F7 F8 T7 T8 P7 P8 Fz Cz Pz IO FC1 FC2 CP1 CP2 FC5 FC6 CP5 CP6 FT9 FT10 TP9 TP10 F1 F2 C1 C2 P1 P2 AF3 AF4 FC3 FC4 CP3 CP4 PO3 PO4 F5 F6 C5 C6 P5 P6 AF7 AF8 FT7 FT8 TP7 TP8 PO7 PO8 Fpz CPz POz Oz
2.6696 4.6578 1.3415 -0.5811 0.4554 0.3199 -0.9342 -1.4586 -1.7532 -1.2948 1.3691 0.3798 1.4442 -0.4440 -1.4552 -0.7321 1.0844 1.5032 -0.6043 1.1583 1.8957 1.0843 1.5368 0.3525 1.7418 -0.4084 -0.0411 -0.2928 0.6913 -0.4488 -0.0671 -0.2119 1.5665 0.7008 1.6720 1.5002 0.4436 -0.5206 0.9021 0.6592 2.1884 0.5468 0.6551 0.0796 -1.5640 -1.8501 0.8761 0.0636 0.9917 0.1226 -0.8126 -2.0278 0.6557 0.1697 1.0820 -0.4647 0.5935 0.3005 -1.5170 -1.3870 -0.3990 0.6203 -1.1977 -0.9820
2.3860 4.6560 1.0791 -0.6325 0.2793 0.1753 -0.9097 -1.5675 -1.5965 -1.3306 1.3801 0.4946 1.4730 -0.4751 -1.0075 -0.8252 1.0437 1.4047 -0.7115 1.1754 1.7128 1.0359 1.4403 0.2546 1.5997 -0.4112 0.0288 -0.4168 0.8713 -0.2985 0.3583 -0.3044 1.4384 0.6627 1.5382 1.3972 0.3737 -0.6886 0.8999 0.7745 2.0849 0.5018 0.5067 -0.0926 -1.4603 -1.8920 0.8410 0.2979 0.9979 0.2475 -0.5255 -2.0547 0.5767 0.3706 1.0394 -0.3017 0.7976 0.1757 -1.1594 -1.3702 -0.2969 0.5151 -1.2875 -1.0261
2.1596 4.6383 0.7851 -0.5719 0.0364 0.0417 -0.8763 -1.6098 -1.4104 -1.4185 1.3782 0.5653 1.6739 -0.3165 -0.4582 -0.9528 0.9756 1.2526 -0.8032 1.0071 1.4442 0.9712 1.2895 0.1632 1.3953 -0.4324 0.1519 -0.5293 0.9747 -0.1808 0.8569 -0.4032 1.2510 0.6385 1.3264 1.2579 0.2870 -0.8319 0.8746 0.8741 1.8842 0.4768 0.3374 -0.2585 -1.3144 -1.8930 0.8240 0.5641 0.9253 0.3405 -0.1540 -2.0343 0.5385 0.5601 1.0078 -0.1625 1.1111 0.0310 -0.7580 -1.3979 -0.0829 0.3731 -1.3543 -1.0998
1.9872 4.5921 0.4738 -0.4008 -0.2386 -0.0753 -0.8316 -1.5861 -1.1934 -1.5329 1.3777 0.5706 1.9069 -0.1398 0.1254 -1.1037 0.8873 1.0608 -0.8717 0.7328 1.1165 0.8999 1.0953 0.0750 1.1722 -0.4677 0.3031 -0.6335 0.9929 -0.1039 1.3726 -0.4872 1.0227 0.6298 1.0630 1.0972 0.1935 -0.9392 0.8195 0.9374 1.6052 0.4753 0.1660 -0.4040 -1.1376 -1.8500 0.8269 0.8306 0.8074 0.3591 0.2619 -1.9565 0.5403 0.7076 0.9787 -0.0887 1.4677 -0.0980 -0.3410 -1.4524 0.1851 0.2076 -1.3883 -1.1804
1.8367 4.4813 0.1645 -0.1425 -0.5141 -0.1728 -0.7716 -1.5067 -0.9471 -1.6316 1.3679 0.5060 2.0023 -0.1508 0.6658 -1.2691 0.7810 0.8456 -0.9080 0.4310 0.7597 0.8273 0.8737 -0.0132 0.9740 -0.4909 0.4500 -0.7332 0.9377 -0.0616 1.8471 -0.5445 0.7750 0.6291 0.7775 0.9301 0.1037 -0.9990 0.7207 0.9544 1.2753 0.4958 0.0052 -0.5186 -0.9423 -1.7595 0.8414 1.0659 0.6807 0.3175 0.6739 -1.8199 0.5578 0.7856 0.9348 -0.0946 1.7829 -0.1941 0.0637 -1.5080 0.4470 0.0355 -1.3789 -1.2354
1.6760 4.2736 -0.1186 0.1628 -0.7690 -0.2469 -0.6937 -1.3872 -0.6842 -1.6656 1.3211 0.3905 1.8559 -0.4649 1.0956 -1.4430 0.6579 0.6233 -0.9044 0.1399 0.4026 0.7553 0.6431 -0.1001 0.8232 -0.4610 0.5626 -0.8274 0.8341 -0.0434 2.2388 -0.5748 0.5286 0.6262 0.4939 0.7698 0.0250 -1.0032 0.5701 0.9310 0.9230 0.5339 -0.1405 -0.5947 -0.7426 -1.6185 0.8503 1.2464 0.5661 0.2784 1.0340 -1.6351 0.5619 0.7864 0.8596 -0.1715 1.9773 -0.2589 0.4282 -1.5393 0.6613 -0.1273 -1.3197 -1.2297
1.4959 3.9647 -0.3530 0.4692 -0.9930 -0.2949 -0.6001 -1.2432 -0.4265 -1.5954 1.2126 0.2566 1.4777 -1.0405 1.3699 -1.6154 0.5208 0.4095 -0.8580 -0.1440 0.0704 0.6827 0.4212 -0.1781 0.7152 -0.3530 0.6200 -0.9074 0.7137 -0.0392 2.5272 -0.5803 0.2995 0.6143 0.2270 0.6256 -0.0392 -0.9515 0.3772 0.8892 0.5737 0.5833 -0.2718 -0.6261 -0.5527 -1.4270 0.8289 1.3596 0.4632 0.3034 1.3023 -1.4206 0.5377 0.7293 0.7468 -0.2945 1.9975 -0.2988 0.7267 -1.5231 0.8054 -0.2699 -1.2114 -1.1377
1.3048 3.5771 -0.5290 0.7352 -1.1806 -0.3176 -0.4973 -1.0852 -0.1965 -1.4006 1.0352 0.1300 0.9719 -1.7059 1.4685 -1.7675 0.3737 0.2173 -0.7733 -0.4328 -0.2182 0.6060 0.2221 -0.2378 0.6296 -0.1833 0.6139 -0.9548 0.6024 -0.0394 2.6955 -0.5563 0.0960 0.5871 -0.0148 0.5034 -0.0880 -0.8520 0.1661 0.8584 0.2468 0.6369 -0.3888 -0.6080 -0.3826 -1.1880 0.7479 1.3973 0.3563 0.4108 1.4547 -1.1949 0.4875 0.6497 0.6002 -0.4241 1.8305 -0.3118 0.9397 -1.4370 0.8614 -0.3868 -1.0597 -0.9523
1.1061 3.1373 -0.6560 0.9312 -1.3278 -0.3163 -0.3914 -0.9162 -0.0100 -1.0795 0.7999 0.0155 0.4809 -2.2485 1.3960 -1.8719 0.2175 0.0567 -0.6603 -0.7117 -0.4542 0.5224 0.0545 -0.2716 0.5461 -0.0002 0.5504 -0.9456 0.5049 -0.0408 2.7130 -0.4938 -0.0837 0.5348 -0.2253 0.4069 -0.1192 -0.7185 -0.0420 0.8517 -0.0472 0.6898 -0.4880 -0.5377 -0.2352 -0.9070 0.5778 1.3495 0.2249 0.5744 1.4895 -0.9678 0.4166 0.5792 0.4298 -0.5104 1.5115 -0.2893 1.0603 -1.2606 0.8068 -0.4759 -0.8720 -0.6824
0.8833 2.6572 -0.7574 1.0395 -1.4304 -0.2917 -0.2820 -0.7331 0.1302 -0.6406 0.5288 -0.0998 0.1265 -2.5066 1.1852 -1.8977 0.0479 -0.0684 -0.5312 -0.9354 -0.6399 0.4297 -0.0800 -0.2779 0.4533 0.1463 0.4522 -0.8593 0.4027 -0.0509 2.5430 -0.3922 -0.2503 0.4425 -0.3997 0.3360 -0.1292 -0.5653 -0.2482 0.8427 -0.3043 0.7383 -0.5617 -0.4175 -0.1055 -0.5909 0.2978 1.2074 0.0557 0.7461 1.4294 -0.7375 0.3180 0.5352 0.2484 -0.5143 1.1144 -0.2243 1.0978 -0.9805 0.6241 -0.5361 -0.6544 -0.3418
