Fp1 Fp2 F3 F4 C3 C4 P3 P4 O1 O2 F7 F8 T7 T8 P7 P8 Fz Cz Pz IO FC1 FC2 CP1 CP2 FC5 FC6 CP5 CP6 FT9 FT10 TP9 TP10 F1 F2 C1 C2 P1 P2 AF3 AF4 FC3 FC4 CP3 CP4 PO3 PO4 F5 F6 C5 C6 P5 P6 AF7 AF8 FT7 FT8 TP7 TP8 PO7 PO8 Fpz CPz POz Oz
0.3065 0.0996 0.8205 0.6212 0.7050 0.4404 -0.6122 -1.3877 -0.5907 -0.3712 0.6188 -0.5965 1.4423 0.3077 0.8586 0.0498 0.9088 -0.7307 -1.7028 0.8707 0.7995 -0.1201 -0.1309 -0.6574 0.5885 0.6172 0.0578 0.1217 -0.2452 -1.0291 1.0186 0.4528 0.9098 0.7467 0.1260 -0.5832 -0.5121 -1.2788 0.9623 -0.0382 0.9987 0.4304 0.1157 -0.1001 -1.0033 -0.8608 0.5851 0.3293 0.5760 0.3645 0.0715 -0.3949 0.6358 -0.7562 0.6868 0.4065 0.6654 0.7013 0.4501 -0.0176 -0.2797 -0.8506 -1.6263 -0.5957
0.4742 -0.1504 0.5693 0.6556 0.5607 0.5785 -0.6047 -1.1664 -0.6551 -0.3360 0.6068 -0.8861 2.1844 -0.2016 0.7957 -0.0654 0.8662 -0.4242 -1.3714 0.9145 0.8262 0.0544 -0.0159 -0.3630 0.6178 0.4577 0.0947 0.1821 -0.5288 -1.1451 0.7585 0.2919 0.8033 0.7936 0.1887 -0.3097 -0.4053 -0.9782 0.7352 -0.3584 0.8590 0.4835 0.0077 0.0907 -0.9832 -0.6994 0.5511 0.1961 0.1680 0.4656 -0.0441 -0.3766 0.7789 -0.9062 0.6231 0.2765 0.7375 0.3985 0.3076 -0.1580 -0.3919 -0.5979 -1.4529 -0.4257
0.7384 -0.2859 0.4214 0.7521 0.4086 0.6931 -0.6296 -0.9750 -0.7116 -0.3483 0.5884 -1.1094 2.6320 -0.5546 0.6165 -0.2115 0.8720 -0.0901 -1.0338 0.8569 0.8742 0.2515 0.0858 -0.0624 0.6346 0.3127 0.0771 0.2144 -0.7147 -1.1854 0.4045 0.0613 0.7554 0.8775 0.2420 -0.0282 -0.3238 -0.6687 0.5253 -0.5156 0.7509 0.5750 -0.1269 0.2492 -0.9837 -0.5733 0.6965 0.1604 -0.1861 0.5553 -0.2366 -0.4073 0.9468 -1.0218 0.5608 0.1042 0.7201 0.0585 0.1137 -0.3406 -0.3808 -0.3139 -1.2721 -0.2551
1.0512 -0.2863 0.3825 0.8983 0.2559 0.7741 -0.6870 -0.8238 -0.7741 -0.4170 0.5553 -1.2328 2.7773 -0.6612 0.3345 -0.3818 0.9358 0.2484 -0.7032 0.7483 0.9411 0.4586 0.1658 0.2234 0.6318 0.1799 -0.0121 0.2136 -0.7761 -1.1644 -0.0243 -0.2245 0.7793 0.9933 0.2842 0.2446 -0.2671 -0.3680 0.3904 -0.4609 0.6847 0.7009 -0.2829 0.3666 -1.0047 -0.4976 0.9990 0.2271 -0.4592 0.5833 -0.4904 -0.4894 1.1159 -1.0863 0.5023 -0.1049 0.6093 -0.2749 -0.1253 -0.5569 -0.2643 -0.0140 -1.0940 -0.1162
1.3658 -0.1518 0.4359 1.0796 0.1034 0.8234 -0.7709 -0.7134 -0.8512 -0.5466 0.5076 -1.2363 2.6606 -0.5561 -0.0203 -0.5669 1.0525 0.5670 -0.3854 0.6200 1.0154 0.6604 0.2151 0.4813 0.6031 0.0645 -0.1760 0.1821 -0.7049 -1.1486 -0.4907 -0.5250 0.8714 1.1329 0.3096 0.4955 -0.2324 -0.0907 0.3786 -0.2034 0.6553 0.8514 -0.4561 0.4436 -1.0421 -0.4814 1.4025 0.3879 -0.6510 0.5242 -0.7809 -0.6191 1.2689 -1.0826 0.4541 -0.3103 0.4162 -0.5577 -0.3883 -0.7930 -0.0634 0.2858 -0.9298 -0.0492
1.6442 0.0970 0.5541 1.2843 -0.0483 0.8537 -0.8687 -0.6381 -0.9422 -0.7340 0.4510 -1.1084 2.3395 -0.3697 -0.4084 -0.7615 1.2073 0.8474 -0.0815 0.4776 1.0818 0.8468 0.2301 0.7091 0.5405 -0.0130 -0.4000 0.1250 -0.5144 -1.1946 -0.9412 -0.7977 1.0139 1.2920 0.3139 0.7169 -0.2126 0.1550 0.4997 0.1897 0.6494 1.0159 -0.6388 0.4904 -1.0879 -0.5270 1.8255 0.6260 -0.7768 0.3904 -1.0787 -0.7915 1.3917 -0.9955 0.4219 -0.4554 0.1614 -0.7607 -0.6449 -1.0399 0.1955 0.5724 -0.7888 -0.0881
1.8566 0.4256 0.7091 1.5012 -0.1930 0.8843 -0.9645 -0.5878 -1.0462 -0.9765 0.3928 -0.8419 1.8819 -0.2144 -0.7968 -0.9667 1.3806 1.0842 0.2102 0.3171 1.1291 1.0173 0.2181 0.9157 0.4384 -0.0233 -0.6566 0.0514 -0.2341 -1.2835 -1.3241 -1.0191 1.1812 1.4708 0.3003 0.9115 -0.1944 0.3708 0.7221 0.6328 0.6561 1.1879 -0.8174 0.5240 -1.1360 -0.6316 2.1819 0.9216 -0.8552 0.2276 -1.3570 -1.0019 1.4706 -0.8059 0.4049 -0.4948 -0.1316 -0.8724 -0.8742 -1.3013 0.4863 0.8392 -0.6758 -0.2482
1.9859 0.7911 0.8761 1.7154 -0.3163 0.9357 -1.0452 -0.5490 -1.1752 -1.2743 0.3400 -0.4381 1.3722 -0.1106 -1.1686 -1.1863 1.5538 1.2857 0.4921 0.1412 1.1538 1.1803 0.1977 1.1174 0.3006 0.0564 -0.9139 -0.0248 0.0973 -1.3416 -1.6101 -1.1857 1.3464 1.6666 0.2825 1.0921 -0.1607 0.5682 0.9971 1.0691 0.6712 1.3664 -0.9716 0.5648 -1.1884 -0.7881 2.4072 1.2515 -0.8995 0.0911 -1.5967 -1.2422 1.4996 -0.4862 0.3945 -0.4150 -0.4420 -0.8921 -1.0813 -1.5902 0.7943 1.0875 -0.5909 -0.5266
2.0368 1.1469 1.0325 1.9076 -0.3972 1.0252 -1.1018 -0.5039 -1.3561 -1.6157 0.2985 0.0764 0.9016 -0.0359 -1.5202 -1.4248 1.7095 1.4687 0.7668 -0.0357 1.1604 1.3448 0.1941 1.3322 0.1439 0.2281 -1.1420 -0.0855 0.4335 -1.3292 -1.7997 -1.3067 1.4865 1.8684 0.2819 1.2758 -0.0954 0.7633 1.2813 1.4810 0.6968 1.5504 -1.0774 0.6320 -1.2534 -0.9810 2.4672 1.5810 -0.9157 0.0178 -1.7867 -1.4983 1.4886 -0.0202 0.3760 -0.2382 -0.7528 -0.8327 -1.2906 -1.9126 1.1148 1.3245 -0.5300 -0.9035
2.0285 1.4489 1.1594 2.0596 -0.4127 1.1612 -1.1268 -0.4345 -1.6098 -1.9640 0.2723 0.6315 0.5362 -0.0178 -1.8467 -1.6893 1.8312 1.6492 1.0365 -0.1866 1.1579 1.5107 0.2334 1.5711 -0.0050 0.4709 -1.3155 -0.1170 0.7235 -1.2801 -1.9132 -1.4016 1.5843 2.0567 0.3219 1.4736 0.0115 0.9679 1.5402 1.8629 0.7371 1.7328 -1.1102 0.7372 -1.3362 -1.1854 2.3509 1.8606 -0.9009 0.0190 -1.9202 -1.7536 1.4602 0.5597 0.3345 -0.0109 -1.0474 -0.7303 -1.5228 -2.2603 1.4351 1.5590 -0.4828 -1.3336
