-0.033701	-0.033701	0.043725	0.043725	0.096694	0.096694	0.023146	0.023146	-0.045487	-0.045487	-0.036121	-0.036121	-0.039860	-0.039860	-0.043396	-0.043396	0.118219	0.626870	0.078558	0.208254	0.208254	0.165765	0.165765	0.008866	0.008866	0.001354	0.001354	-0.067199	-0.067199	-0.069343	-0.069343	
-0.033701	-0.036121	0.047044	0.036365	0.108866	0.085685	0.029531	0.020546	-0.043396	-0.045487	-0.033701	-0.039860	-0.036121	-0.043396	-0.039860	-0.045487	0.113794	0.626870	0.081803	0.218060	0.190475	0.180299	0.159118	0.014290	0.002359	0.007783	-0.003330	-0.065395	-0.069343	-0.067199	-0.071011	
-0.036121	-0.039860	0.044636	0.028270	0.117069	0.079381	0.037737	0.022417	-0.039860	-0.043396	-0.033701	-0.043396	-0.033701	-0.045487	-0.036121	-0.045487	0.102935	0.626871	0.090774	0.214088	0.173044	0.198800	0.161710	0.016173	-0.002744	0.013577	-0.004833	-0.064689	-0.071011	-0.065395	-0.071634	
-0.039860	-0.043396	0.037737	0.022417	0.117069	0.079381	0.044636	0.028270	-0.036121	-0.039860	-0.036121	-0.045487	-0.033701	-0.045487	-0.033701	-0.043396	0.090774	0.626871	0.102935	0.198800	0.161710	0.214088	0.173044	0.013577	-0.004833	0.016173	-0.002744	-0.065395	-0.071634	-0.064689	-0.071011	
-0.043396	-0.045487	0.029531	0.020546	0.108866	0.085685	0.047044	0.036365	-0.033701	-0.036121	-0.039860	-0.045487	-0.036121	-0.043396	-0.033701	-0.039860	0.081803	0.626870	0.113794	0.180299	0.159118	0.218060	0.190475	0.007783	-0.003330	0.014290	0.002359	-0.067199	-0.071011	-0.065395	-0.069343	
-0.045487	-0.045487	0.023146	0.023146	0.096694	0.096694	0.043725	0.043725	-0.033701	-0.033701	-0.043396	-0.043396	-0.039860	-0.039860	-0.036121	-0.036121	0.078558	0.626870	0.118219	0.165765	0.165765	0.208254	0.208254	0.001354	0.001354	0.008866	0.008866	-0.069343	-0.069343	-0.067199	-0.067199	
-0.045487	-0.043396	0.020546	0.029531	0.085685	0.108866	0.036365	0.047044	-0.036121	-0.033701	-0.045487	-0.039860	-0.043396	-0.036121	-0.039860	-0.033701	0.081803	0.626870	0.113794	0.159118	0.180299	0.190475	0.218060	-0.003330	0.007783	0.002359	0.014290	-0.071011	-0.067199	-0.069343	-0.065395	
-0.043396	-0.039860	0.022417	0.037737	0.079381	0.117069	0.028270	0.044636	-0.039860	-0.036121	-0.045487	-0.036121	-0.045487	-0.033701	-0.043396	-0.033701	0.090774	0.626871	0.102935	0.161710	0.198800	0.173044	0.214088	-0.004833	0.013577	-0.002744	0.016173	-0.071634	-0.065395	-0.071011	-0.064689	
-0.039860	-0.036121	0.028270	0.044636	0.079381	0.117069	0.022417	0.037737	-0.043396	-0.039860	-0.043396	-0.033701	-0.045487	-0.033701	-0.045487	-0.036121	0.102935	0.626871	0.090774	0.173044	0.214088	0.161710	0.198800	-0.002744	0.016173	-0.004833	0.013577	-0.071011	-0.064689	-0.071634	-0.065395	
-0.036121	-0.033701	0.036365	0.047044	0.085685	0.108866	0.020546	0.029531	-0.045487	-0.043396	-0.039860	-0.033701	-0.043396	-0.036121	-0.045487	-0.039860	0.113794	0.626870	0.081803	0.190475	0.218060	0.159118	0.180299	0.002359	0.014290	-0.003330	0.007783	-0.069343	-0.065395	-0.071011	-0.067199	
-0.029049	-0.035931	0.061263	0.030775	0.131030	0.067212	0.033510	0.009795	-0.043565	-0.049134	-0.026230	-0.043565	-0.029049	-0.049134	-0.035932	-0.051134	0.119969	0.489100	0.074089	0.252591	0.172917	0.188620	0.134434	0.027432	-0.006001	0.016770	-0.013367	-0.061068	-0.072056	-0.063882	-0.074327	
-0.032179	-0.039860	0.056915	0.023201	0.138698	0.063017	0.041981	0.012441	-0.039860	-0.046731	-0.026963	-0.046731	-0.026963	-0.050627	-0.032179	-0.050627	0.107338	0.489099	0.083418	0.243044	0.157929	0.207909	0.138492	0.028313	-0.010150	0.022502	-0.013911	-0.060677	-0.073452	-0.062186	-0.074625	
-0.035931	-0.043565	0.050136	0.016975	0.141454	0.061609	0.050136	0.016975	-0.035931	-0.043565	-0.029049	-0.049134	-0.026230	-0.051134	-0.029049	-0.049134	0.094757	0.489100	0.094757	0.227017	0.146360	0.227017	0.146360	0.026568	-0.012825	0.026568	-0.012825	-0.061068	-0.074327	-0.061068	-0.074327	
